Emotion,Statement
fear,someone would discover really love
joy,found got accepted berkeley
shame,classroom discussed teacher told thing affected directly negative way job behavior classroom front pupil
fear,dark night felt several people near know were
joy,older sister told u thinking joining rest family winter sport holiday
sadness,flute teacher replaced new one
anger,made look like fool girl
sadness,failed exam last summer worked hard disappointed thinking hopeless continue college overreact
fear,walking dark myself
sadness,death relative
sadness,separated girlfriend year birthday put present mailbox spent two day choosing suitable present her waited day reply her last received thank you card mailbox card name word thank you signature sad then
fear,decided propose man liked make trip together one day breakfast told idea afraid accepting idea would end failure
fear,late one night pursued gipsy good intention
disgust,eindhoven exhibition hernan nitsche made painting real blood also photograph killing cow
anger,usually angry myself happens often instace want pet without falling love soon prof fallen love him
joy,getting back boyfriend year away apart
fear,sexually assaulted one night stranger
shame,alone bus tripped fell dropped paper
sadness,like someone like rude me
disgust,horror spider snake walk wood saw body slow worm without head
anger,government decided withdraw student allowance one condition imposed imf
disgust,murder two girl school trip berlin and sexual crime generally couple year ago
guilt,accident happened little cousin taken enough care her fell floor hand hurt
fear,given audition get role competitress well prepared ill
fear,night coming lingadzi inn heard hyena cry lingadzi jungle alone
guilt,whenever something prohibited wrong feel guilty
sadness,ten year old funeral grand father ceremony held church really death grand father made sad
shame,friend mine much money therefore stayed girlfriend bought meat nobody wanted go prepare dinner friend said i thought wanted invite u dinner of course said thought must enough bought it
anger,insulted bus
shame,latin examination school
fear,curious went spiritism session friend already time many time younger day even believe spiritism terribly afraid something would happen sort incorporation
sadness,finding university give first priority qualified practioners clinical year go english lecture
fear,scene shooting front house afraid two armed men confronting discover reason incident
sadness,read lot remember anything
sadness,caused much pain sorrow boyfriend finishing relationship
fear,long ago two friend mine got quite drunk one began rave influence alcohol felt fear could happened
fear,child stepping rusty nail told might get tetanus
joy,accepted course finance accounting
shame,put lot weight month every time met someone knew would avoid them usually hiding self image low ashamed done myself
fear,mother come home midnight forgotten tell it young alone home
disgust,one day countryside several friend began eat fig full noticed fig full worm
joy,got good grade exam statistic
joy,th birthday passed driving test glad study much lucky proof really difficult everybody passed test
shame,go gynecologist sit special chair felt ashamed
fear,first time rode motorcycle brother going fast felt would fall without brother realizing it
disgust,feel disgust people lying mean say one thing one person thing another way another person make people quarrel among themselves
fear,walking friend s house block house car began follow me waited passed rotateed little stopped way changed completely way car went following turned corner running hid garden house waiting car pas by went back home terribly afraid
shame,first real experience boy alone quite young pretty naive pretty crude real sort of macho dark night summer talking
shame,forgot promise made friend mine
guilt,father got slight heart attack telephone call mine
shame,event felt acted unfairly
shame,arrived late meeting mentor the night introduction novice university start
disgust,situation overt unfairness manipulation people consequence
joy,passed driving test three week ago got licence
joy,i m glad good relation colleague party
sadness,recently sister in law s horse poisoned plant died horse obedient exceptional child
sadness,funeral friend killed car accident age many friend present well family etc
fear,christmas eve finished exam afraid result one major subject unsatisfactory thought chance passing even failed subject would need repeat however liked subject much result bad lazyness forced change minor subject would unwilling
shame,shame came beaten teacher school front boy girl friend girlfriend apart classmate
fear,mother robbed shop
shame,china winning gold medal asian olympics
anger,male honduran acquaintance mine despised opinion
sadness,sister left home go live husband
anger,husband invited house nieghbours got invitation part parent refuse result called word provoked anger
sadness,got know death close friend
guilt,felt guilty stole boyfriend friend mine
guilt,went room mate s drawer see iron could use came in felt guilty may thought stealing
disgust,felt saw headmaster blushed ingratiating high ranking official
anger,short notice agreed work place friend sick owner restaurant refused allow drink later evening which usually always available worker thank me generally indifferent towards felt deserve this
disgust,study group person always liked argue unimportant irrelevant minor point tried persuade others unfriendly way obstinate would accept other s point view
guilt,able see girlfriend birthday late arriving home uni phone arranged certain time she rang meantime
sadness,left alone one week end without prepared it
guilt,take test made necessary preparation late two day go still done much
shame,young playing football near parent s house playing fell ground first thought seen anybody mother laughed felt ashamed
anger,brother continually interupting talking telephone
anger,friend often played joke sometimes thought nonsensical person went friend s house walked first shut door firmly behind him felt respect moreover friend behaved like that angry a bad mood then
sadness,general ye jianying died
guilt,recently made slip blurted indecent word mother s presence
fear,felt fear mother heavily ill
sadness,inability read book college
disgust,tram fat sickly looking woman front asking direction thick voice got go disgusting smell urine came her felt would choke
anger,best friend school told lie boy seeing went herself
joy,feeling really low series fight sibling pressure school going party wanted go instead going family guy called said effect nice liked me hence emotional joy
shame,first time go stage give speech
joy,saw family good friend back staying one year foreign country
guilt,offend somebody unfairly
guilt,felt guilty given prize belonged someone else
anger,away weekend friend went room played expensive stereo without asking roommate
disgust,read newspaper article young girl raped assaulted one night several men unconscious
disgust,disgust drunkers blood
sadness,move away home study knew would coming back home long time
fear,walking around alone night
guilt,borrowed friend s radio cassette plug cracked piece broke plug dropped hand
sadness,living overseas city made decision leave city come home month met whole new set friend leaving airport sad traumatic helped many way knew see many again
shame,inform friend forthcoming birthday
anger,realized person courting really side long time already deceived let deceive me
shame,sister said stable person think right
guilt,told ex boyfriend hurt wearing something given another guy unaware action really considered fact given me might see me still respected opinion me
guilt,calculation exercise neglected part it though marked done chance asked demonstrate part blackboard
guilt,lack respect parent
anger,friend unpunctual wanted prepare examination
guilt,shouted mother nervous depressed
shame,blamed failure bias favouritism marking system fact worked hard enough
guilt,time attracted conduct socially degraded due ill consequence feel guilty
shame,unable stop urinating bus
fear,feared dog s eye infected much played around weed foxtail gotten eyelid took vet feared may go blind foxtail
fear,nine p m went home bike dark cycle track lack time take short cut
guilt,student union leader expelled university continued study
joy,considered hour able overcome scruple call friend fallen love realized decision right glad
guilt,arrived home late night know mother get worried made feel angry
anger,forced call telephone company bill concerning disconnected phone belonging landlord bill four month overdue meanwhile using phone seemed intention phone reconnected
fear,year old would usually come home school mother car first time take school bus mistook bus stop found two kilometre away lived scared wondering would get back home
disgust,heard murder year old girl
sadness,well expected chemistry exam received score average thought done well
guilt,getting friend open container ticket got caught speeding
joy,good report card a scholarship primary school
fear,nearly knocked car
shame,son apprehended shoplifting age apprehended age felt shame able prevent son acting way
joy,shot decisive goal ice hockey match
fear,fear come live nijmegen
sadness,tried talk parent phone wanted go home week end knew would able bear it tried reduce gulf conflict u talking order unite world result hysterical mess blinding blaming
anger,someone told would stay home one night therefore made big effort make everything ok food one day cancelled appointment go church parent
guilt,take exam excited much time housekeeping friend everything
disgust,one flatmate came back flat monday morning find real mess left guy share with
fear,crossing street several way car began move thought going trampled
fear,sometime back boyfriend walk nearby parent s house suddenly met grandfather afraid would report parent
fear,one evening going meet friend mine cross meadow dark road bush side road weather damp bit foggy heard step behind kept speeding step time
joy,boyfriend getting dressed putting make up go halloween party dressing two mime enjoyable thought looked really good accomplishment alone house
guilt,worked designer fitter hard hit damage occurred building site designed
joy,elder sister baby girl first girl family year baby boy
anger,form three taking mock exam someone else a friend making noise examinateur picked said would tear answer sheet got angry girl involved
fear,could question math midterm
disgust,failed first biochemistry test
sadness,mother left father best friend moved papua new guinea despite fact closer father anyone else family move mother say good bye father knowing would see again
sadness,cat died illness u year lovely cat ill one two week veterinary surgeon told u dying
fear,boarding school lusaka rhodesian soldier came bomb house near school saw whole scene
sadness,sister bkoke leg
disgust,reperbahn restaurant charming old saleswoman came beg drink herself
fear,week back important seminar circulated paper panel member day seminar realized inadvertantly burdened certain derivation failed correct it feared would reflect badly performance fortunately none panel member detected felt relieved
disgust,situation occurred entered smelling ward
joy,first boyfriend
joy,father operation lasted hour worried successful
fear,continous fear nuclear war
anger,saw child hunting cat death
anger,felt angry repeated plea ticket collector co passenger order make queue fell deaf ear feeling whenever someone disciplined methodic duty
guilt,told uncle false story people stolen book room demanded money him found truth trouble
sadness,friend mine got pregnant anf failed first year university boyfriend refused responsibility ended court
joy,india prudential cup beating west indie final match became world cricket champion west indie strongest eight country participated competition
anger,felt angry friend told stolen money
sadness,daughter problem friend could see predicament window given cold shoulder
shame,finishing homework time
joy,birth child
joy,school whhen received letter dean school congratulating performance previous year s exam
guilt,guilt fighting sister for telling bad wa
joy,joyful heard passed standard exam day heard news day celebrated birthday
guilt,father physically handicapped asks something raise several objection often fix moment
shame,learnt lesson asked teacher give a three agreed even felt quite awkward nb bulgarian school a three second worst mark
joy,psychical crisis met girl told almost problem finally overcome them
fear,alone home man forced front door locked forced tried open window
fear,saw man heart attack treated it feared father could there
joy,getting accentance letter cal
guilt,something unpleasant happened soldier directly involved it
joy,close acquaintace cried me felt happy somebody cared
fear,burglar gun forced house ordered give money face death
sadness,close friend mine first year could make second year
joy,successfully passed exam happy
anger,father began say incoherant thing concerning brother s behaviour towards him biased authoritarian ridiculous point view made u angry
disgust,student trying please lecturer
anger,learned several people died street due cold weather
shame,insulted classmate public
anger,played chess year old brother made stupid mistake won
disgust,old man hospital hollow cheeked one half nose glass eye rattling breath
fear,finding people go mad social reason
disgust,saw president reagan get elected
shame,slandered person behind back got know it
guilt,friend mine beaten fault
anger,alowed school camp class i d year i stayed due illness
shame,younger sister year old pregnant
shame,bought new clothes put on
joy,received offer post graduate work
disgust,disgusted behavior car driver whose car would run friend autumn brigade
anger,hard day university also make dinner evening failed frying pan broke
joy,selected come here
sadness,received s y j c result mark obtained expectation missed admission engineering
guilt,concert tour therefor seperated boy friend needed warmth given male member orchestra feeling towards deep feeling were felt guilty said i radiator
fear,anatomy lesson told night sometimes
sadness,christmas eve tension parent even try restore harmonic atmosphere mother stayed room almost whole day felt alone sad
joy,saw year old sister home waited night knowing wa
fear,threatened knife take money
sadness,loss mother
guilt,spoke ill fellow worker absence person
disgust,army got certain dish dinner like all obliged eat hungry
joy,went walk beach friend seen many month weather pleasant ice cream lot fun beach
guilt,allowed little brother clean bathroom way mother came saw floor overflowed water slapped brother face told go bed immediately
shame,one day class professor asked question concerning something explaining close beside me idea answer
sadness,day result college entrance examination s paulo university published find name list entering university greatest wish fact succeded caused great frustration sadness
joy,got driver licence
fear,going home car late one night cold dark windy became rather panicky way house
sadness,person died not really friend
shame,felt ashamed friend always respected insulted public drunk
joy,met present boyfriend boat trip england said would call got back sweden we going town england soon walked called england could wait till came home
disgust,employer made pas whilst work
disgust,first day work hospital dressing wound disgusted came across one wound bad smell
shame,sat wrong discussion section beginning semester insisted right section ta s list included name found wrong apologized turned red left
fear,felt boyfriend went bourgas study there feeling would lose him anyway distance plovdiv bourgas seemed great
sadness,found could go concert after buying ticket biology test occurred morning after
disgust,piece work marked bad teacher fellow student agree vague criticism felt taken teacher felt disgust
disgust,feel disgusted bootlicker helpless people
anger,roommate liked listen meaningless song melody content lived together played recorder forced listen them could tell like listen song right disturb freedom others would find pretext leave room go somewhere else
anger,getting terrible meal paying heap them
sadness,sound really predictable usual absolutely heart rending time first lover i rang one day announced found another woman never saw hurt positive true love
anger,recently sister four year younger spoiled shouted mother apparent reason heart broken expression mother s face made feel angry
fear,afraid exam colloquium
sadness,watching am programme starving refugee plight source sadness me
guilt,living home summer vacation towards end decided take clothes belonging appartment guttenburg finished went ex boyfriend s relationship uncertain home stayed till a m leave parent needed car work morning parent like boyfriend
joy,saw good friend seen long time
fear,traffic car nearly got crushed bus tram attention driver saved last moment
guilt,saved money good purpose also organise party afraid rest little money good purpose feel guilty this
shame,remember standard failed one terminal test told parent passed found class teacher failed proved liar
guilt,sometimes unfair parent happened deceive trifling thing
joy,first niece born
guilt,lied mum later came know teling false
fear,emotion came misbehaved school principal threatened going expelled
shame,young girl form i wet bed one day boarding school many girl came see person done take mattress day
shame,express bus sat seat meant senior citizen invalid
disgust,saw first time naked woman prostitute run away house discovered guardian
joy,best prize national science fair
guilt,mother returned holiday told lie i e father brought another woman home away
anger,felt teacher put quite unreal mark
anger,boyfriend went away month long holiday without me
sadness,social situation became interested woman talked laughed enjoyed other desappeared minute little appeared man
guilt,child stole friend mine ring got easter egg
guilt,stole father s money denied done it instead father threatened young brother beaten innocent felt guilty
anger,missed train wait next two hour reason missed appointment important me
guilt,told boyfriend want go relationship knew important wanted free saw difficult remained firm change mind
sadness,cat died painfully slowly
anger,came back hostel bed full newspaper dirty clothes room mate asked wash clothes time this responsibility food shared eaten i ate little
anger,discussion mother concerning sister s divorce disagreed strongly
guilt,shame
fear,went urologist s afraid several reason first time medical check up might painful uncertainty someone informed it
guilt,drunk much nearly got alcohol poisoning
guilt,accident aunt offered front seat car next driver declined took seat killed car crashed
anger,examine satisfied with
shame,insulted front parent believed people those insulting me
joy,unofficially informed result final examination secondary school teacher wrote me went outside started cry joy
disgust,felt disgust watching picture television torturing political prisoner india this happened india indira ghandi
shame,talking aunt mine adore found courage say i love you came shame
anger,father banned going sister s home due misunderstanding two
fear,go dentist s touched tooth drill terribly aftaid pain would feel moment
fear,walking along dog barking following you
anger,week angry soemone trying compress mind due nonsense speech could tolerate all
shame,failed twelveth standard exam ashamed see parent later
anger,put class leader
sadness,found ability ordinary work worse fellow mate
joy,summer job sweden boyfriend came meet birthday
guilt,undertaken help sister class work unexpected circumstance prevented that
guilt,spread abroad intimate secret
joy,friend mine period thinking pregnant
joy,admitted language school day informed message parent congratulated me
disgust,anti pornography meeting sample film magazine shown
guilt,incomprehension repression towards child s behaviour commonly accepted making child cry
sadness,mother scolded something insignificant without knowing real cause happened
anger,tripped busy street
shame,always feel ashamed succeed accomplishing something put effort
guilt,felt guilty last year winter term exam colleague mine asked give lecture note i good note passed exam advance still know give him colleague failed verge passing supplementary examination
joy,away home long time came home delighted wonderful see familiar dear people rejoycing advance feeling lonely
disgust,happened went visit friend chelston found screwing girlfriend
guilt,many year back quarrelled younger brother small reason used pole beat nearly broke arm recovered treatment lasted several month relationship worse would listen me
disgust,think hardly situation felt disgusted perhaps once saw big spider
joy,worked au pair girl london received call good friend told london wanted see me glad call especially saw her
sadness,grandfather died heard death bad feeling stomach felt lost something precious
fear,one day little boy friend asked play outside catch boy however parent know got home late feared scolded parent
anger,angry boyfriend turn promised
guilt,hostel roommate selfish person would avoid anyhting concern him u prepared lunch together decided share work roomate promised wash bowl everytime dinner tried wait thought would realize fault want tell work university student ought self respect disappointed every time saw tried avoid want keep contact him
anger,told something want do
joy,satisfactory result recently completed university subject communicated phone
disgust,girl work take care much hygiene come always hair oiled agreable smell bad appearance beside try nice
joy,could study university
anger,example unfair pushing bus
guilt,close friend mine leaving graduate school state arranged gather people together day left good time pay much attention have
anger,new year s eve party country hardly knew person partner spent time bar little opportunity get know people table separated boyfriend s parent present
anger,house hunting another person got flat would liked too heaped floot word letter
fear,visiting parent law house invaded three strange men committed armed assault
anger,angry brother making fun me teasing me
sadness,sad heard death teacher taught standard
joy,aticle published
sadness,receiving grade paper mentioned fear
sadness,leave den helder friend acquaintences spend two week friend
joy,joy heard take course medical assistant
anger,government s announcement withdrawal student allowance
anger,going cowell hospital finding tediously stress fracture anger came senile doctor found week later stress fracture one foot crutch distinct pain barely could walk class said would better week
guilt,parked corner going watch another car coming went out car coming obliged stop suddenly crash little
fear,neighbour s girl disappeared many people looking her someone gone notify police something certainly happened her
fear,standing crowed shop closed room much people it give fearful experience
anger,exhausting day came home wanted take bath relax father wanted take bath first finished hour hot water left me
joy,well examn
joy,received te score acceptance university goal since left bank year earlier
guilt,remember little boy broke swiss dinner set quite involuntarily
guilt,parent quarelled something done wrong
guilt,lied friend son thing discussed one better
fear,met elephant bush
fear,walking biology building
shame,thought clumsy made love first time girl
anger,kid brother broke reading spectacle
fear,time threatened expulsion secondary school form four
disgust,supposed studying math midterm day ago however fooled around roommate start studying am disgusted myself
guilt,spied fianct terribly jealous later saw reason that
joy,filled joy heard passed secondary school leaving certificate exam
guilt,time unconscienciously speak mother high tome sorry feel guilty
anger,chief unjustly punished autumn brigade one really guilty kept silent stepped front told truth guilty chief called roll call threatened me
sadness,grandfather died
anger,anger men inability human not men
disgust,someone acting stupid public
shame,ashamed certain friend mine used move failed propose lady yet always said lady refuse proposal
fear,important examn
anger,felt angry one driver run beloved niece
joy,girl talked thing relationship changed became positive diificult time turned pleasant one
shame,time everybody spoke discussed hainburg also asked opinion ashamed firm view whole thing therefor able join conversation
guilt,young girl tried put end life lover s grief hospital heard reason action
shame,promised lend something mother in law forgot couple time asked third time ashamed absent mindedness
fear,relationship first girlfriend broke realized late
anger,discussion mother realized moment doubt justification making decision concerning life
disgust,getting low grade physic midterm
anger,people football match outside window lecture
guilt,travelling bus invalid ticket got caught
joy,boyfriend came form rumphi lilongwe visit happy see believe me
fear,talk meeting expound thought subject fear delayed acting this
guilt,friend mine trusted back decision made moment came agree opinion
joy,recurrent lovesickness
fear,afraid learnt father seriously ill hospital
disgust,beaten classmate school
anger,caught letter girlfriend s handbag certain man felt anger
shame,compartment public transport railway give seat old man standing near me another teenager so
shame,failed grade
fear,fear unknown felt fear sat entrance examination
anger,worked hard vacation raise money major item e g radio arrived inter city bus terminal hard earned money stolen me
guilt,bluffing front mother get money
anger,played chess championship disturbed people asked quiet vain
guilt,niece year old living room fixing table birthday party and every child stay calm burst balloon told quiet father pinched her believe said anything happened
fear,two hyena made cry noise window bedroom home preparing mce examination night
shame,people floor last year close year best friend live together apartment boyfriend dropped one birthday stayed dinner two people already invited felt uncomfortable unwanted realized one always called rarely call me
disgust,apply
disgust,felt disgusted given money lunch school father punishment beating little brother
disgust,returning universtity night accosted boy molested me passing hand body
disgust,boy cueing dining hall
shame,social occasion noticed reacted basis autonomous nerve system i could help it
disgust,well midterm i m disgusted prepared thought well
shame,elder brother always good relationship feel ashamed call talk nowadays
joy,football big deal high school joyous school s team conference championship last year
guilt,very close friend mine used come room see naver bothered pay visit one day asked reason behind gave shirt
guilt,fought sister said provoked this seriously scolded
joy,way particular girl spoke behaved reacted first time introduced her felt certain something u would materialize
disgust,saw ice cream kiosque cockroach walking cornet
joy,told everyone last lecture lecture english everybody come not english class
joy,fortnight ago declared successful u g c exam year only four bombay succeeded joy knew bound
anger,happened recently dining hall one friend eating called fool
disgust,reading execution massacre happened world war ii felt disgust towards it
sadness,finish life year old dog
anger,never really experience yet n a
disgust,kanishka blown up really felt disgusted people killing other
anger,boy friend came home late one night without told before
fear,way ski slope difficult steep
fear,river rafting nev boat tipped sucked rock got stuck could think going die quiet water seemed like one would care remember
joy,boyfriend suffered form ill health month week physician told restored health
sadness,recently felt sad without reason lasted day nothing liked period
joy,day told accepted student economics
fear,father involved accident
anger,relative come place created untidyness dirtyness
disgust,intoxicated men incite fight met vile smelling man tram got closer closer till got up got angry
anger,someone spread rumour me
guilt,pregnant thought baby would hurt father like regardless life created
guilt,robbed loop supermarket
shame,lied someone time later person found told truth
fear,school threw duster another child hit head blow caused flesh wound afraid would happen teacher found circumstance
fear,two year ago saw film tv even make afraid
anger,accused something done
disgust,condition disgusted followed lost money way home college
fear,last summer walking along beach bikini awful man came cycling me shouting ran fast leg could carry me
anger,someone stole ski vitosha course one blamed left without supervision
anger,classmate damaged iron tried hide damage
joy,people remember u show interest do
anger,teacher art craft boy year obligatory dislike it tease me one cut material flared up
fear,cycling park late one night two people jumped wood tried stop me shouting something time
anger,angry friend said receive nursing science book rumour intending leave college
anger,someone chased house
sadness,received letter friend live madrid telling would come holiday arranged everythiing them
disgust,girl friend mine affair boy also friend mine got know girl also seeing another guy later on broke friend mine without giving explanation made sad depressed felt disgust girl
sadness,uncle beaten troublesome son fell unconscious gained consciousness time time school news reached someone
sadness,always sad boyfriend go away life study city gone steady year everything going well sometime situation make feel bad lonely
shame,ate sister s food found me felt ashamed still refused admit me
guilt,shouted quarrelled reason rude mother behaviour influenced outward factor
sadness,received letter telling mother ill
disgust,joined youth group observed affair community many opportunity contact government committee member district board a local executive structure always tried consult discus them found people understand community affair even dampened enthusiasm local affair understand decided work community leader
anger,sometimes go work crazy bos a hyper jewish lawyer insists thing way filing typing etc sometimes blame thing do can t yell back him
fear,walk along dark road alone
anger,came home one day discovered sister borrowed car gotten accident it entire front bumper destroyed
sadness,one cat died disease
joy,friend organized birthday party secretly happy much present seemed care me
fear,mother ill feared would die
joy,overwhelming anxiety enquiry understood something exist task life is
fear,hitchhiking picked stranger drove wood wanted make love me refused escaped car walking wood hearing car afraid
joy,felt joy heard radio successful primary school leaving certificate examination selected secondary school
guilt,beat young sister refused wash plate started cry felt sorry guilty did
guilt,aunt went way help financial problem
guilt,cousin knocked door looking get watch back given girlfriend lizzy present
joy,well examn
disgust,friend sitting restaurant talking said awful thing woman became disgusted narrow mindedness
sadness,friend told suffered love academic shared sadness
sadness,child unexpectedly started acting restless disturbing way school addition performance school weakened
anger,live sister sometimes anger especially think keep apt clean enough
anger,father addressed directly maliciously thus including family war
disgust,whenever see alcoholic
guilt,took car someone without saying him
guilt,ate runeberg s cake though knew would immediately put kilo
anger,angry several driver showed aggressive dangerous driving habit
anger,finding university enough foreign currency buy yournals reference list
disgust,prolonged niggling friend single theme considered consequence
shame,feared would describe sexual life older strange woman
disgust,first may detested fiance s friend piled party spoilt completely
shame,seem feel emotion shame guilt fear far
anger,came lesson cancelled fill questionnaire instead
anger,finding deceived friend
sadness,go back home form u s ten week visit brother family
guilt,going another girl besides girlfriend telling her
fear,when example grandfather fell seriously ill necessary operated felt great fear losing dear me
guilt,decided first marriage ended left child felt overwhelmed guilt separating mother child
sadness,mother proved suffer serious disease
fear,felt fear sat one exam though fear quite justifiable still remember it
joy,favourite football team made goal win cup england
fear,almost fell rock acting foolishly playing dangerously
shame,taking part mobbing one best friend primary school
anger,murder
anger,insulted man
fear,studied medicine several semester time developed great fear examination afraid examination anatomy student examined dissecting able hear everything waiting fear turn
joy,made dinner friend appreciated much
disgust,obscene phone call
sadness,one day came across certain boy intruding friendship lover girlfriend sad expect girl disappoint regarded faithful
joy,son born
guilt,quarrelled sister deliberately messed belonging
anger,little niece talkative suddenly became naughty began wetting pant one afternoon
anger,car towed away traffic police wrongly parked however sign put already parked
sadness,loss good friend
anger,girlfriend disliked played majong a game gambling expressed regret went see neglected existance angry left displeasure
anger,angry one day husband ignored slept separate bed reason doubt neglect never imagined could thing
sadness,prolonged separation family
fear,boyfriend forgetting left house unlocked unfortunatly thief came stole kitchen utensil thereafter afraid consequence
joy,remember religious experience gospel camp friend mine decided believe god joy felt time word express blessed praised god heart
disgust,heard somebody talk study highly enthusiastic student like way
joy,felt happy settlement marriage even though different socio linguistic background parent agreed wedding without conflict discussion thought would object wedding happen
guilt,one day alone duty patient choked eating ran tried make breath late
disgust,malaysian city girlfriend coming picture theatre seeing rush taxi old sick man trying get to seeing take taxi
shame,think time really felt shame young defecate street worried case someone see me
guilt,accepted lunch invitation past male friend
fear,first time saw dead person started gross anatomy practicals
disgust,school thing people age could think getting rolling drunk good time without firstly getting drunk
sadness,girlfriend let badly time one week instance summed negative aspect relationship time seemed doomed fail
anger,friend told education nothing discussion friend failed th grade made angry used education argue
guilt,girlfriend s result school become worse prevented learning we often went etc
fear,scared water child
sadness,grandfather died extremely sad however family member special feeling said already year old
disgust,went shopping centre buy something saw packet kapenta maggot them oh
shame,lecture six student including me asked leave class prepared lesson felt ashamed angry
disgust,saw magazine photograph dead maimed people whose limb separated body like head one side leg other
guilt,felt guilty part successful people felt guilty student people not guilt potential success various area society so stupid emotion
guilt,felt guilty thought still standing foot
sadness,grandmother staying u awhile went back home
shame,could hold bladder making telephone call ended wetting myself
fear,late night around midnight person asked give lift suddenly tried attack could escape followed little while
shame,wrote letter father ventilate bottled feeling afterwards thought negative
anger,parent typical family argument came saw scene became angry
anger,used go chief asking doubt job care answer me leaving speaking alone
joy,prize effort
guilt,concentrate study despite mother s help cooperation
sadness,received letter form home telling sister sick
joy,took entrance exam successfully also got school leaving certificate delivering ceremony extremely official
joy,lecture sensed unexpressed understanding boy know exchange glance think like me like too perhaps fallen love
sadness,mother left kenya
guilt,chatted girl love however fallen love me felt responsible sorrow
disgust,felt disgusted studying applied psychology mental testing paper b a
anger,t v saw news feature south africa policeman attacked group black people whip
anger,last exam
joy,away long time friend told passed written examination
joy,saw certificate result feel happy realize got credit classmate pointed me parent relative praised realized result good i e a b c felt satisfied result happy
sadness,parent told like friend
disgust,disgust drunk people
sadness,holiday met friend tried commit suicide left hospital lip trembling looked miserable
fear,trying board train missed footstep fell platform
anger,certain friend tried push seat violent way apparent reason may excited something
shame,past experienced feeling almost time wherever went different sutuations small taken kindergarten fool dare tell exactly where finally result late
sadness,accepted student finance accounting
sadness,badly examn
anger,friend mine us butter instead oil cooking always angry that unnecessary luxury recently cooking wanted use butter again already put oil pan poured put butter pan
joy,day friend mine decided go galicia holiday
anger,travelled way former school collect certificate told owed money knew nothing this
sadness,realized burden mother look u herself
guilt,ski tour friend two drunk much went slope ski lost friend lost way thought something must happened he finally arrived long time
disgust,student life house live alcoholic try manipulate people money drunk much
joy,seen brother five year spain arrived airport felt great joy
fear,seven year old swimming outside flag gold coast caught rip taken m swim well older friend swam saved me
anger,experienced one friend reported headmaster gone beer whilst information true all fight friend headmaster
sadness,noticed parent prosperity people surroundings
anger,angered classmate poured soup clothes trying use short cut method getting supper coming behind back noticed retreating hungry congested people knocked plate head accept wrong blamed pouring soup
sadness,tried level best care client took appointment doctor meeting doctor expired poor small boy uttar pradesh
guilt,finished love affair responsible sad end
anger,can t remember truly angry usually disappointment feel one situation would brother used close seems avoiding me
shame,one morning breakfast still satisfied nephew a small boy eaten breakfast taking bit share someone walked in
joy,friend see month circumstance met made feel happy perhaps one good thing learned friend
shame,borrowed friend paid back much later originally intended
guilt,dad married second wife my step mother like went wardrobe set fire dress eveyone suspected brother bear consequence nobody ever got know done it
sadness,good friend misunderstood me
fear,stayed alone dark night mountain waiting uncle remember took big stone calmed me
sadness,terminate training suited it sad this much wanted finish training
anger,realized far behind others language course could longer catch others
joy,met girlfriend another town long separation
joy,got married
shame,learning judo instructor wanted assist teaching girl judo suburban college beginer made green belt would able command respect principle yet allowed listen him gave soon after however felt ashamed sticking principle put foot earlier
guilt,eating much felt guilty afterwards knew overeaten i m putting much weight
fear,frightened night fearful terrifying dream could go back sleep long time
anger,accident trafic police car packed curve without visibility traffic regulation strong snowstorm result still cannot repair car missing spare part
sadness,left new york family friend behind me
guilt,library book overdue money pay them
disgust,one find someone know like one thought instance friend steal thing like that quite unwarranted
disgust,person talking situation eating
shame,enough money pay coffee
shame,day night drank much party
anger,mother read letter friend mine written telling got drunk last time
disgust,eat scrap dust bin bet
joy,getting phone call old friend
shame,out patient asked read certain prescription unable so patient dissappointed lost hope me
fear,trip santander wanted stop curve friend sick car skidded gravel
guilt,lost something valuable sister
disgust,disgusted discover girlfriend week already fooling around another guy disappointed guy rogue respected girlfriend
disgust,failed entrance exam medical school studying biochemistry job prospect zambia
fear,helped someone something found out
guilt,chosen put son private school examination mark low every time give term result left sense guilt
disgust,dog run died near house pick up cold glassy eyed get rid corpse
shame,acting play orientation camp made feel timid
shame,finding chosen english lecture
shame,one day got bus without money season ticket driver threw out
joy,intercourse
fear,felt frightened robber broke house threatened shoot father part money looking man hand trigger
shame,purposely locked babysitter house age like her
anger,last night finding someone house eaten entire packet almond bought family treat
joy,discussing psychology friend lecture
joy,finished c s project overjoyed felt relieved due next day tired looking it
anger,long trip dad s van without incident stopped fill tank gas dented side van pole car electrical system would work tried drive home house
shame,take part cocktail party occasion national holiday servant
shame,plain appearance
disgust,bisshop ter schure intoduced tv dutch nation spoke god himself discus way achieved position
anger,examination got bad mark small mistake went lector wanted talk that listen sent away
anger,pointed problem child primary school mother took teacher s point view
disgust,playing sport advanced pe class many people advanced
shame,family reunion started talking wearing ear ring
joy,received grade average midterm chemistry expected onevery average
fear,cycling past parked car someone opened door nearly pushed bike traffic
anger,friend promised get book important work forgot it
fear,fear thief
anger,person close mistook good intention bad therefore associated unpleasant trait me
disgust,auxiliary nurse hospital change nappy first time old sick woman
guilt,had silent disapproved love made unhappy able keep promise thus thinking conduct towards another person
anger,others let down fail keep agreement
sadness,going go vacation texas summer unable go registration
guilt,homework teacher asked u do scolded immediately
sadness,fight sister know care
anger,helped little sister year learning mathematics obviously want understand explained started cry grew angry
